N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
242,        CTaskComplexSmartFleeEntity,CTaskComplexSmartFleeEntity,CTaskComplex,0x86F784,0x40,0x38F,0x2C,_ZN27CTaskComplexSmartFleeEntityC2EP7CEntitybfiif
243,            CTaskComplexFleeShooting,CTaskComplexFleeShooting,CTaskComplexSmartFleeEntity,0x86F7C4,0x54,0x3A0,0x2C,_ZN24CTaskComplexFleeShootingC2EP7CEntitybfiiiif
244,            CTaskComplexFleeAnyMeans,CTaskComplexFleeAnyMeans,CTaskComplexSmartFleeEntity,0x86F7F0,0x54,0x39F,0x2C,_ZN24CTaskComplexFleeAnyMeansC2EP7CEntitybfiiifif
245,        CTaskComplexGangLeader,CTaskComplexGangLeader,CTaskComplex,0x86F8FC,0x38,0x4B1,0x30,_ZN22CTaskComplexGangLeaderC2EP9CPedGroup
246,        CTaskComplexGangFollower,CTaskComplexGangFollower,CTaskComplex,0x86F938,0x4C,0x4B7,0x2C,_ZN24CTaskComplexGangFollowerC2EP9CPedGroupP4CPedh7CVectorf
247,        CTaskComplexTrackEntity,CTaskComplexTrackEntity,CTaskComplex,0x86F998,0x58,0x39D,0x2C,_ZN23CTaskComplexTrackEntityC2EP7CEntity7CVectorhiffh
248,        CTaskGangHassleVehicle,CTaskGangHassleVehicle,CTaskComplex,0x86F9D4,0x44,0x4B5,0x2C,_ZN22CTaskGangHassleVehicleC2EP8CVehicleihff
249,        CTaskGangHasslePed,CTaskGangHasslePed,CTaskComplex,0x86FA00,0x2C,0x4BC,0x2C,_ZN18CTaskGangHasslePedC2EP4CPediii
250,        CTaskComplexStareAtPed,CTaskComplexStareAtPed,CTaskComplex,0x86FA2C,0x28,0x101,0x2C,_ZN22CTaskComplexStareAtPedC2EP9CPedGroupP4CPedi
251,        CTaskComplexSignalAtPed,CTaskComplexSignalAtPed,CTaskComplex,0x86FA8C,0x18,0x4BA,0x2C,_ZN23CTaskComplexSignalAtPedC2EP4CPedih
252,        CTaskGoToVehicleAndLean,CTaskGoToVehicleAndLean,CTaskComplex,0x86FAC8,0x24,0x4C0,0x2C,_ZN23CTaskGoToVehicleAndLeanC2EP8CVehiclei
253,        CTaskComplexPassObject,CTaskComplexPassObject,CTaskComplex,0x86FB18,0x30,0x4BB,0x2C,_ZN22CTaskComplexPassObjectC2EP4CPedh
254,        CTaskComplexGangJoinRespond,CTaskComplexGangJoinRespond,CTaskComplex,0x86FB5C,0x14,0x4C3,0x2C,_ZN27CTaskComplexGangJoinRespondC2Eh
255,        CTaskComplexProstituteSolicit,CTaskComplexProstituteSolicit,CTaskComplex,0x86FB88,0x30,0x51D,0x2C,_ZN29CTaskComplexProstituteSolicitC2EP4CPed
