N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
176,            CTaskComplexUseClosestFreeScriptedAttractorSprint,CTaskComplexUseClosestFreeScriptedAttractorSprint,CTaskComplexUseClosestFreeScriptedAttractor,0x85B930,0x10,0x106,0x2C,
177,        CTaskComplexUseMobilePhone,CTaskComplexUseMobilePhone,CTaskComplex,0x86E454,0x20,0x640,0x2C,_ZN26CTaskComplexUseMobilePhoneC2Ei
178,        CTaskComplexUseGoggles,CTaskComplexUseGoggles,CTaskComplex,0x86E4A8,0x0C,0x644,0x2C,_ZN22CTaskComplexUseGogglesC2Ev
179,        CTaskComplexInWater,CTaskComplexInWater,CTaskComplex,0x86E4EC,0x0C,0x10C,0x2C,_ZN19CTaskComplexInWaterC2Ev
180,        CTaskComplexUseSequence,CTaskComplexUseSequence,CTaskComplex,0x86E518,0x1C,0x113,0x2C,_ZN23CTaskComplexUseSequenceC2Ei
181,        CTaskComplexUseScriptedBrain,CTaskComplexUseScriptedBrain,CTaskComplex,0x86E568,0x1C,0x708,0x2C,_ZN28CTaskComplexUseScriptedBrainC2EPKc
182,        CTaskComplexEnterCar,CTaskComplexEnterCar,CTaskComplex,0x86E6F0,,none,0x30,_ZN20CTaskComplexEnterCarC2EP8CVehiclebbbb
183,            CTaskComplexEnterCarAsDriver,CTaskComplexEnterCarAsDriver,CTaskComplexEnterCar,0x86EAAC,0x50,0x2BD,0x30,_ZN28CTaskComplexEnterCarAsDriverC2EP8CVehicle
184,            CTaskComplexEnterCarAsPassenger,CTaskComplexEnterCarAsPassenger,CTaskComplexEnterCar,0x86EADC,0x50,0x2BC,0x30,_ZN31CTaskComplexEnterCarAsPassengerC2EP8CVehicleib
185,            CTaskComplexOpenDriverDoor,CTaskComplexOpenDriverDoor,CTaskComplexEnterCar,0x86EB0C,0x50,0x2D2,0x30,_ZN26CTaskComplexOpenDriverDoorC2EP8CVehicle
186,            CTaskComplexOpenPassengerDoor,CTaskComplexOpenPassengerDoor,CTaskComplexEnterCar,0x86EB3C,0x50,0x2D8,0x30,_ZN29CTaskComplexOpenPassengerDoorC2EP8CVehiclei
187,            CTaskComplexDragPedFromCar,CTaskComplexDragPedFromCar,CTaskComplexEnterCar,0x86EB6C,0x54,0x2BF,0x30,_ZN26CTaskComplexDragPedFromCarC2EP4CPedi
188,        CTaskComplexEnterCarAsDriverTimed,CTaskComplexEnterCarAsDriverTimed,CTaskComplex,0x86E720,0x24,0x2C9,0x2C,_ZN33CTaskComplexEnterCarAsDriverTimedC2EP8CVehiclei
189,        CTaskComplexEnterCarAsPassengerTimed,CTaskComplexEnterCarAsPassengerTimed,CTaskComplex,0x86E74C,0x2C,0x2C8,0x2C,_ZN36CTaskComplexEnterCarAsPassengerTimedC2EP8CVehicleiib
190,        CTaskComplexEnterCarAsPassengerWait,CTaskComplexEnterCarAsPassengerWait,CTaskComplex,0x86E778,0x24,0x2CE,0x2C,_ZN35CTaskComplexEnterCarAsPassengerWaitC2EP8CVehicleP4CPedbi
191,        CTaskComplexLeaveCarAsPassengerWait,CTaskComplexLeaveCarAsPassengerWait,CTaskComplex,0x86E7A4,0x10,0x2DA,0x2C,_ZN35CTaskComplexLeaveCarAsPassengerWaitC2EP8CVehicle
192,        CTaskComplexEnterBoatAsDriver,CTaskComplexEnterBoatAsDriver,CTaskComplex,0x86E7D0,0x10,0x2CB,0x2C,_ZN29CTaskComplexEnterBoatAsDriverC2EP8CVehicle
193,        CTaskComplexStealCar,CTaskComplexStealCar,CTaskComplex,0x86E7FC,0x20,0x2BE,0x2C,_ZN20CTaskComplexStealCarC2EP8CVehicle
194,        CTaskComplexLeaveBoat,CTaskComplexLeaveBoat,CTaskComplex,0x86E854,0x14,0x2CC,0x2C,_ZN21CTaskComplexLeaveBoatC2EP8CVehiclei
195,        CTaskComplexLeaveCarAndWander,CTaskComplexLeaveCarAndWander,CTaskComplex,0x86E880,0x1C,0x2C3,0x2C,_ZN29CTaskComplexLeaveCarAndWanderC2EP8CVehicleiib
196,        CTaskComplexLeaveCarAndFlee,CTaskComplexLeaveCarAndFlee,CTaskComplex,0x86E8AC,0x28,0x2C2,0x2C,_ZN27CTaskComplexLeaveCarAndFleeC2EP8CVehicleRK7CVectoriib
197,        CTaskComplexScreamInCarThenLeave,CTaskComplexScreamInCarThenLeave,CTaskComplex,0x86E8D8,0x20,0x2C4,0x2C,_ZN32CTaskComplexScreamInCarThenLeaveC2EP8CVehiclei
198,        CTaskComplexCarDrive,CTaskComplexCarDrive,CTaskComplex,0x86E934,0x24,0x2D5,0x38,
